model,feature,importance
RandomForest,price_rolling_mean_4w,0.734308
RandomForest,price_lag_1w,0.246399
RandomForest,price_pct_change_1w,0.010672
RandomForest,price_lag_2w,0.006486
RandomForest,days_since_first_sale,0.000686
RandomForest,rarity_tier,0.00019
RandomForest,tournament_top8_rate,0.000114
RandomForest,domain_primary_chaos,0.000105
RandomForest,domain_primary_order,8.6e-05
RandomForest,tournament_play_rate,8.1e-05
RandomForest,type_unit,7.8e-05
RandomForest,domain_primary_fury,7.3e-05
RandomForest,type_gear,7.1e-05
RandomForest,type_champion_unit,6.8e-05
RandomForest,domain_primary_mind,6.7e-05
RandomForest,domain_primary_calm,6.5e-05
RandomForest,type_spell,5.2e-05
RandomForest,type_legend,5.1e-05
RandomForest,domain_primary_body,5e-05
RandomForest,set_release_flag,4e-05
RandomForest,type_signature_spell,3e-05
RandomForest,domain_primary_none,2.9e-05
RandomForest,type_rune,2.8e-05
RandomForest,type_battlefield,2.5e-05
RandomForest,domain_primary_fury;order,1.5e-05
RandomForest,type_signature_gear,1.4e-05
RandomForest,domain_primary_body;chaos,1.3e-05
RandomForest,domain_primary_calm;body,1.3e-05
RandomForest,domain_primary_calm;mind,1.3e-05
RandomForest,domain_primary_mind;chaos,1.3e-05
RandomForest,domain_primary_fury;chaos,1.1e-05
RandomForest,domain_primary_mind;order,1.1e-05
RandomForest,domain_primary_body;order,1e-05
RandomForest,domain_primary_fury;mind,1e-05
RandomForest,domain_primary_calm;chaos,9e-06
RandomForest,domain_primary_fury;body,9e-06
RandomForest,domain_primary_calm;order,4e-06
RandomForest,type_signature_unit,1e-06
RandomForest,type_gear;token,0.0
RandomForest,type_unit;token,0.0
RandomForest,domain_primary_mind;body,0.0
XGBoost,price_rolling_mean_4w,0.605551
XGBoost,price_lag_1w,0.298397
XGBoost,type_legend,0.026972
XGBoost,rarity_tier,0.026905
XGBoost,price_lag_2w,0.018259
XGBoost,price_pct_change_1w,0.009463
XGBoost,days_since_first_sale,0.002206
XGBoost,type_spell,0.001023
XGBoost,type_gear,0.000932
XGBoost,type_battlefield,0.000922
XGBoost,type_signature_gear,0.000865
XGBoost,domain_primary_order,0.000575
XGBoost,type_signature_spell,0.000564
XGBoost,type_rune,0.000532
XGBoost,tournament_top8_rate,0.000513
XGBoost,type_unit,0.000507
XGBoost,type_champion_unit,0.000487
XGBoost,domain_primary_chaos,0.000484
XGBoost,domain_primary_calm,0.000403
XGBoost,set_release_flag,0.000397
XGBoost,domain_primary_fury,0.000391
XGBoost,domain_primary_fury;chaos,0.000335
XGBoost,tournament_play_rate,0.000325
XGBoost,domain_primary_body,0.000315
XGBoost,domain_primary_body;order,0.000311
XGBoost,domain_primary_mind,0.000294
XGBoost,domain_primary_fury;order,0.000288
XGBoost,domain_primary_calm;body,0.000277
XGBoost,domain_primary_fury;body,0.000275
XGBoost,domain_primary_mind;order,0.000237
XGBoost,domain_primary_fury;mind,0.000221
XGBoost,domain_primary_calm;mind,0.000219
XGBoost,domain_primary_mind;chaos,0.000175
XGBoost,domain_primary_none,0.000173
XGBoost,domain_primary_body;chaos,0.000121
XGBoost,domain_primary_calm;chaos,4.9e-05
XGBoost,domain_primary_calm;order,3.7e-05
XGBoost,type_gear;token,0.0
XGBoost,type_signature_unit,0.0
XGBoost,type_unit;token,0.0
XGBoost,domain_primary_mind;body,0.0
