card_display,week,actual_price,predicted_price,model
Acceptable Losses,2025-12-29,0.28,0.2418,ARIMA
Acceptable Losses,2025-12-29,0.28,0.2651,Lasso
Acceptable Losses,2025-12-29,0.28,0.2793,Prophet
Acceptable Losses,2025-12-29,0.28,0.2818,RandomForest
Acceptable Losses,2025-12-29,0.28,0.2507,Ridge
Acceptable Losses,2025-12-29,0.28,0.2804,XGBoost
Acceptable Losses,2026-01-05,0.275,0.2609,ARIMA
Acceptable Losses,2026-01-05,0.275,0.2595,Lasso
Acceptable Losses,2026-01-05,0.275,0.2727,Prophet
Acceptable Losses,2026-01-05,0.275,0.2678,RandomForest
Acceptable Losses,2026-01-05,0.275,0.268,Ridge
Acceptable Losses,2026-01-05,0.275,0.2559,XGBoost
Acceptable Losses,2026-01-12,0.2333,0.2512,ARIMA
Acceptable Losses,2026-01-12,0.2333,0.2687,Lasso
Acceptable Losses,2026-01-12,0.2333,0.2373,Prophet
Acceptable Losses,2026-01-12,0.2333,0.2454,RandomForest
Acceptable Losses,2026-01-12,0.2333,0.291,Ridge
Acceptable Losses,2026-01-12,0.2333,0.2545,XGBoost
Acceptable Losses,2026-01-19,0.23,0.2284,ARIMA
Acceptable Losses,2026-01-19,0.23,0.2244,Lasso
Acceptable Losses,2026-01-19,0.23,0.2308,Prophet
Acceptable Losses,2026-01-19,0.23,0.2281,RandomForest
Acceptable Losses,2026-01-19,0.23,0.2519,Ridge
Acceptable Losses,2026-01-19,0.23,0.228,XGBoost
Acceptable Losses,2026-01-26,0.22,0.2431,ARIMA
Acceptable Losses,2026-01-26,0.22,0.2325,Lasso
Acceptable Losses,2026-01-26,0.22,0.2242,Prophet
Acceptable Losses,2026-01-26,0.22,0.2242,RandomForest
Acceptable Losses,2026-01-26,0.22,0.2704,Ridge
Acceptable Losses,2026-01-26,0.22,0.2227,XGBoost
Acceptable Losses,2026-02-02,0.2267,0.2225,ARIMA
Acceptable Losses,2026-02-02,0.2267,0.225,Lasso
Acceptable Losses,2026-02-02,0.2267,0.2176,Prophet
Acceptable Losses,2026-02-02,0.2267,0.2204,RandomForest
Acceptable Losses,2026-02-02,0.2267,0.2469,Ridge
Acceptable Losses,2026-02-02,0.2267,0.2145,XGBoost
Acceptable Losses,2026-02-09,0.24,0.2453,ARIMA
Acceptable Losses,2026-02-09,0.24,0.2325,Lasso
Acceptable Losses,2026-02-09,0.24,0.2398,Prophet
Acceptable Losses,2026-02-09,0.24,0.2297,RandomForest
Acceptable Losses,2026-02-09,0.24,0.2726,Ridge
Acceptable Losses,2026-02-09,0.24,0.2325,XGBoost
Acceptable Losses,2026-02-16,0.23,0.2371,ARIMA
Acceptable Losses,2026-02-16,0.23,0.2513,Lasso
Acceptable Losses,2026-02-16,0.23,0.2332,Prophet
Acceptable Losses,2026-02-16,0.23,0.2273,RandomForest
Acceptable Losses,2026-02-16,0.23,0.273,Ridge
Acceptable Losses,2026-02-16,0.23,0.2327,XGBoost
Acceptable Losses,2026-02-23,0.2433,0.2355,ARIMA
Acceptable Losses,2026-02-23,0.2433,0.2398,Lasso
Acceptable Losses,2026-02-23,0.2433,0.2267,Prophet
Acceptable Losses,2026-02-23,0.2433,0.2178,RandomForest
Acceptable Losses,2026-02-23,0.2433,0.2703,Ridge
Acceptable Losses,2026-02-23,0.2433,0.2279,XGBoost
Acceptable Losses,2026-03-02,0.265,0.2418,ARIMA
Acceptable Losses,2026-03-02,0.265,0.2627,Lasso
Acceptable Losses,2026-03-02,0.265,0.2201,Prophet
Acceptable Losses,2026-03-02,0.265,0.2217,RandomForest
Acceptable Losses,2026-03-02,0.265,0.3231,Ridge
Acceptable Losses,2026-03-02,0.265,0.237,XGBoost
Acceptable Losses,2026-03-09,0.25,0.2418,ARIMA
Acceptable Losses,2026-03-09,0.25,0.2905,Lasso
Acceptable Losses,2026-03-09,0.25,0.2135,Prophet
Acceptable Losses,2026-03-09,0.25,0.2317,RandomForest
Acceptable Losses,2026-03-09,0.25,0.3354,Ridge
Acceptable Losses,2026-03-09,0.25,0.237,XGBoost
Adaptatron,2025-12-29,0.22,0.2309,ARIMA
Adaptatron,2025-12-29,0.22,0.2705,Lasso
Adaptatron,2025-12-29,0.22,0.2165,Prophet
Adaptatron,2025-12-29,0.22,0.2417,RandomForest
Adaptatron,2025-12-29,0.22,0.23,Ridge
Adaptatron,2025-12-29,0.22,0.2664,XGBoost
Adaptatron,2026-01-05,0.22,0.2234,ARIMA
Adaptatron,2026-01-05,0.22,0.1909,Lasso
Adaptatron,2026-01-05,0.22,0.2257,Prophet
Adaptatron,2026-01-05,0.22,0.2185,RandomForest
Adaptatron,2026-01-05,0.22,0.1689,Ridge
Adaptatron,2026-01-05,0.22,0.2192,XGBoost
Adaptatron,2026-01-12,0.21,0.2245,ARIMA
Adaptatron,2026-01-12,0.21,0.2155,Lasso
Adaptatron,2026-01-12,0.21,0.1978,Prophet
Adaptatron,2026-01-12,0.21,0.2168,RandomForest
Adaptatron,2026-01-12,0.21,0.2253,Ridge
Adaptatron,2026-01-12,0.21,0.2101,XGBoost
Adaptatron,2026-01-19,0.19,0.2167,ARIMA
Adaptatron,2026-01-19,0.19,0.2071,Lasso
Adaptatron,2026-01-19,0.19,0.2071,Prophet
Adaptatron,2026-01-19,0.19,0.192,RandomForest
Adaptatron,2026-01-19,0.19,0.2096,Ridge
Adaptatron,2026-01-19,0.19,0.1943,XGBoost
Adaptatron,2026-01-26,0.21,0.1977,ARIMA
Adaptatron,2026-01-26,0.21,0.1886,Lasso
Adaptatron,2026-01-26,0.21,0.2163,Prophet
Adaptatron,2026-01-26,0.21,0.2016,RandomForest
Adaptatron,2026-01-26,0.21,0.2005,Ridge
Adaptatron,2026-01-26,0.21,0.189,XGBoost
Adaptatron,2026-02-02,0.2367,0.2251,ARIMA
Adaptatron,2026-02-02,0.2367,0.223,Lasso
Adaptatron,2026-02-02,0.2367,0.2255,Prophet
Adaptatron,2026-02-02,0.2367,0.2203,RandomForest
Adaptatron,2026-02-02,0.2367,0.2256,Ridge
Adaptatron,2026-02-02,0.2367,0.2088,XGBoost
Adaptatron,2026-02-09,0.285,0.2511,ARIMA
Adaptatron,2026-02-09,0.285,0.2477,Lasso
Adaptatron,2026-02-09,0.285,0.2718,Prophet
Adaptatron,2026-02-09,0.285,0.2634,RandomForest
Adaptatron,2026-02-09,0.285,0.2375,Ridge
Adaptatron,2026-02-09,0.285,0.236,XGBoost
Adaptatron,2026-02-16,0.27,0.2726,ARIMA
Adaptatron,2026-02-16,0.27,0.3046,Lasso
Adaptatron,2026-02-16,0.27,0.281,Prophet
Adaptatron,2026-02-16,0.27,0.2857,RandomForest
Adaptatron,2026-02-16,0.27,0.2929,Ridge
Adaptatron,2026-02-16,0.27,0.2719,XGBoost
Adaptatron,2026-02-23,0.3467,0.2547,ARIMA
Adaptatron,2026-02-23,0.3467,0.2791,Lasso
Adaptatron,2026-02-23,0.3467,0.2903,Prophet
Adaptatron,2026-02-23,0.3467,0.2319,RandomForest
Adaptatron,2026-02-23,0.3467,0.2799,Ridge
Adaptatron,2026-02-23,0.3467,0.2388,XGBoost
Adaptatron,2026-03-02,0.415,0.2288,ARIMA
Adaptatron,2026-03-02,0.415,0.3803,Lasso
Adaptatron,2026-03-02,0.415,0.2995,Prophet
Adaptatron,2026-03-02,0.415,0.3523,RandomForest
Adaptatron,2026-03-02,0.415,0.4011,Ridge
Adaptatron,2026-03-02,0.415,0.3143,XGBoost
Adaptatron,2026-03-09,0.43,0.2309,ARIMA
Adaptatron,2026-03-09,0.43,0.4487,Lasso
Adaptatron,2026-03-09,0.43,0.3087,Prophet
Adaptatron,2026-03-09,0.43,0.4046,RandomForest
Adaptatron,2026-03-09,0.43,0.4586,Ridge
Adaptatron,2026-03-09,0.43,0.3897,XGBoost
Against the Odds,2026-02-16,0.0933,0.0425,Lasso
Against the Odds,2026-02-16,0.0933,0.0915,RandomForest
Against the Odds,2026-02-16,0.0933,0.0941,Ridge
Against the Odds,2026-02-16,0.0933,0.1015,XGBoost
Against the Odds,2026-02-23,0.11,0.0799,Lasso
Against the Odds,2026-02-23,0.11,0.093,RandomForest
Against the Odds,2026-02-23,0.11,0.1497,Ridge
Against the Odds,2026-02-23,0.11,0.1198,XGBoost
Against the Odds,2026-03-02,0.095,0.1093,Lasso
Against the Odds,2026-03-02,0.095,0.1162,RandomForest
Against the Odds,2026-03-02,0.095,0.1227,Ridge
Against the Odds,2026-03-02,0.095,0.1249,XGBoost
Against the Odds,2026-03-09,0.08,0.0829,Lasso
Against the Odds,2026-03-09,0.08,0.0973,RandomForest
Against the Odds,2026-03-09,0.08,0.1071,Ridge
Against the Odds,2026-03-09,0.08,0.0917,XGBoost
"Ahri, Alluring (Rare)",2026-01-05,0.6567,0.5888,ARIMA
"Ahri, Alluring (Rare)",2026-01-05,0.6567,0.5654,Lasso
"Ahri, Alluring (Rare)",2026-01-05,0.6567,0.6779,Prophet
"Ahri, Alluring (Rare)",2026-01-05,0.6567,0.597,RandomForest
"Ahri, Alluring (Rare)",2026-01-05,0.6567,0.4958,Ridge
"Ahri, Alluring (Rare)",2026-01-05,0.6567,0.5744,XGBoost
"Ahri, Alluring (Rare)",2026-01-12,0.665,0.62,ARIMA
"Ahri, Alluring (Rare)",2026-01-12,0.665,0.645,Lasso
"Ahri, Alluring (Rare)",2026-01-12,0.665,0.6088,Prophet
"Ahri, Alluring (Rare)",2026-01-12,0.665,0.6276,RandomForest
"Ahri, Alluring (Rare)",2026-01-12,0.665,0.6727,Ridge
"Ahri, Alluring (Rare)",2026-01-12,0.665,0.5783,XGBoost
"Ahri, Alluring (Rare)",2026-01-19,0.615,0.5986,ARIMA
"Ahri, Alluring (Rare)",2026-01-19,0.615,0.6545,Lasso
"Ahri, Alluring (Rare)",2026-01-19,0.615,0.5907,Prophet
"Ahri, Alluring (Rare)",2026-01-19,0.615,0.5768,RandomForest
"Ahri, Alluring (Rare)",2026-01-19,0.615,0.6318,Ridge
"Ahri, Alluring (Rare)",2026-01-19,0.615,0.5754,XGBoost
"Ahri, Alluring (Rare)",2026-01-26,0.5067,0.5403,ARIMA
"Ahri, Alluring (Rare)",2026-01-26,0.5067,0.6043,Lasso
"Ahri, Alluring (Rare)",2026-01-26,0.5067,0.5726,Prophet
"Ahri, Alluring (Rare)",2026-01-26,0.5067,0.5267,RandomForest
"Ahri, Alluring (Rare)",2026-01-26,0.5067,0.5887,Ridge
"Ahri, Alluring (Rare)",2026-01-26,0.5067,0.5627,XGBoost
"Ahri, Alluring (Rare)",2026-02-02,0.54,0.5035,ARIMA
"Ahri, Alluring (Rare)",2026-02-02,0.54,0.496,Lasso
"Ahri, Alluring (Rare)",2026-02-02,0.54,0.5545,Prophet
"Ahri, Alluring (Rare)",2026-02-02,0.54,0.5166,RandomForest
"Ahri, Alluring (Rare)",2026-02-02,0.54,0.4857,Ridge
"Ahri, Alluring (Rare)",2026-02-02,0.54,0.4992,XGBoost
"Ahri, Alluring (Rare)",2026-02-09,0.565,0.5817,ARIMA
"Ahri, Alluring (Rare)",2026-02-09,0.565,0.5411,Lasso
"Ahri, Alluring (Rare)",2026-02-09,0.565,0.5875,Prophet
"Ahri, Alluring (Rare)",2026-02-09,0.565,0.5425,RandomForest
"Ahri, Alluring (Rare)",2026-02-09,0.565,0.5491,Ridge
"Ahri, Alluring (Rare)",2026-02-09,0.565,0.5302,XGBoost
"Ahri, Alluring (Rare)",2026-02-16,0.6133,0.6202,ARIMA
"Ahri, Alluring (Rare)",2026-02-16,0.6133,0.5696,Lasso
"Ahri, Alluring (Rare)",2026-02-16,0.6133,0.5694,Prophet
"Ahri, Alluring (Rare)",2026-02-16,0.6133,0.5635,RandomForest
"Ahri, Alluring (Rare)",2026-02-16,0.6133,0.5518,Ridge
"Ahri, Alluring (Rare)",2026-02-16,0.6133,0.5452,XGBoost
"Ahri, Alluring (Rare)",2026-02-23,0.83,0.641,ARIMA
"Ahri, Alluring (Rare)",2026-02-23,0.83,0.6256,Lasso
"Ahri, Alluring (Rare)",2026-02-23,0.83,0.5513,Prophet
"Ahri, Alluring (Rare)",2026-02-23,0.83,0.5657,RandomForest
"Ahri, Alluring (Rare)",2026-02-23,0.83,0.6171,Ridge
"Ahri, Alluring (Rare)",2026-02-23,0.83,0.5336,XGBoost
"Ahri, Alluring (Rare)",2026-03-02,0.725,0.6219,ARIMA
"Ahri, Alluring (Rare)",2026-03-02,0.725,0.8694,Lasso
